Concept,ISO_Code,Similarity_ColdWar,Similarity_PostColdWar,Deviation_ColdWar,Deviation_PostColdWar,Deviation_Shift,Bloc
law,KWT,0.5631489,0.58111954,0.4368510842323303,0.4188804626464844,-0.017970621585845947,Global South (G77/Rest of World)
law,LBR,0.39144605,0.39169285,0.608553946018219,0.6083071529865265,-0.0002467930316925049,Global South (G77/Rest of World)
law,CMR,0.49140224,0.40033892,0.5085977613925934,0.5996610820293427,0.09106332063674927,Global South (G77/Rest of World)
law,NPL,0.54155815,0.49253395,0.4584418535232544,0.507466048002243,0.04902419447898865,Global South (G77/Rest of World)
law,LAO,0.43242246,0.43634912,0.5675775408744812,0.5636508762836456,-0.003926664590835571,Global South (G77/Rest of World)
law,UKR,0.45917702,0.4744311,0.5408229827880859,0.5255689024925232,-0.015254080295562744,Global South (G77/Rest of World)
law,ROU,0.45169395,0.47405186,0.5483060479164124,0.5259481370449066,-0.022357910871505737,Global South (G77/Rest of World)
law,BEN,0.42142865,0.40419936,0.5785713493824005,0.5958006381988525,0.017229288816452026,Global South (G77/Rest of World)
law,GAB,0.4340485,0.40438378,0.5659514963626862,0.5956162214279175,0.029664725065231323,Global South (G77/Rest of World)
law,PRY,0.45113933,0.4499093,0.5488606691360474,0.5500907003879547,0.0012300312519073486,Global South (G77/Rest of World)
law,THA,0.49364907,0.39960086,0.5063509345054626,0.6003991365432739,0.09404820203781128,Global South (G77/Rest of World)
law,MMR,0.43630716,0.5309026,0.5636928379535675,0.469097375869751,-0.09459546208381653,Global South (G77/Rest of World)
law,TGO,0.40279803,0.26840094,0.5972019731998444,0.7315990626811981,0.13439708948135376,Global South (G77/Rest of World)
law,AUS,0.34308755,0.3865293,0.6569124460220337,0.6134707033634186,-0.04344174265861511,Global North (Western/Allies)
law,NLD,0.31686935,0.4631858,0.6831306517124176,0.5368142127990723,-0.14631643891334534,Global North (Western/Allies)
law,LBN,0.53949887,0.49954426,0.46050113439559937,0.5004557371139526,0.03995460271835327,Global South (G77/Rest of World)
law,SLE,0.48004818,0.42967272,0.5199518203735352,0.5703272819519043,0.05037546157836914,Global South (G77/Rest of World)
law,EGY,0.5903608,0.5027884,0.4096391797065735,0.4972115755081177,0.08757239580154419,Global South (G77/Rest of World)
law,NZL,0.38058564,0.41522172,0.619414359331131,0.5847782790660858,-0.034636080265045166,Global North (Western/Allies)
law,UGA,0.37867436,0.5393622,0.6213256418704987,0.46063780784606934,-0.16068783402442932,Global South (G77/Rest of World)
law,TZA,0.49011764,0.4437328,0.5098823606967926,0.5562672019004822,0.046384841203689575,Global South (G77/Rest of World)
law,FJI,0.345134,0.3729418,0.6548660099506378,0.627058207988739,-0.027807801961898804,Global South (G77/Rest of World)
law,NIC,0.4792518,0.49167064,0.5207481980323792,0.5083293616771698,-0.01241883635520935,Global South (G77/Rest of World)
law,ITA,0.36041057,0.4224692,0.6395894289016724,0.5775308012962341,-0.06205862760543823,Global North (Western/Allies)
law,TCD,0.4613737,0.40234262,0.5386263132095337,0.5976573824882507,0.05903106927871704,Global South (G77/Rest of World)
law,PER,0.48924828,0.42742902,0.5107517242431641,0.5725709795951843,0.061819255352020264,Global South (G77/Rest of World)
law,COL,0.4764768,0.44765723,0.523523211479187,0.5523427724838257,0.028819561004638672,Global South (G77/Rest of World)
law,CHL,0.46547395,0.39656606,0.5345260500907898,0.6034339368343353,0.06890788674354553,Global South (G77/Rest of World)
law,SLV,0.46608275,0.42852718,0.533917248249054,0.5714728236198425,0.037555575370788574,Global South (G77/Rest of World)
law,FIN,0.40634933,0.40243322,0.5936506688594818,0.5975667834281921,0.003916114568710327,Global North (Western/Allies)
